u,v,bank_u,bank_v,opposite_banks,intersects_river_buffer,buffer_m,is_thames_crossing
1000031,1000223,south,south,False,False,75.0,False
1000032,1000262,north,north,False,False,75.0,False
1000034,1000054,north,north,False,False,75.0,False
1000034,1000070,north,north,False,False,75.0,False
1000035,1000114,north,north,False,False,75.0,False
1000035,1000129,north,north,False,False,75.0,False
1000036,1000043,north,north,False,False,75.0,False
1000036,1000077,north,north,False,False,75.0,False
1000036,1000123,north,north,False,False,75.0,False
1000036,1000152,north,north,False,False,75.0,False
1000037,1000038,south,south,False,True,75.0,False
1000037,1000195,south,south,False,False,75.0,False
1000037,1000229,south,south,False,False,75.0,False
1000038,1000160,south,south,False,True,75.0,False
1000039,1000160,north,south,True,True,75.0,True
1000039,1000262,north,north,False,False,75.0,False
1000039,1002033,north,north,False,False,75.0,False
1000039,1002071,north,north,False,False,75.0,False
1000039,1002098,north,north,False,False,75.0,False
1000039,1003005,north,north,False,False,75.0,False
1000040,1000143,north,north,False,False,75.0,False
1000040,1000148,north,north,False,False,75.0,False
1000041,1000185,north,north,False,False,75.0,False
1000041,1000219,north,north,False,False,75.0,False
1000044,1000112,north,north,False,False,75.0,False
1000044,1000225,north,north,False,False,75.0,False
1000045,1000075,north,north,False,False,75.0,False
1000045,1000135,north,north,False,False,75.0,False
1000045,1000179,north,north,False,False,75.0,False
1000048,1000240,north,north,False,False,75.0,False
1000050,1000051,south,south,False,False,75.0,False
1000050,1000052,south,south,False,False,75.0,False
1000051,1000223,south,south,False,False,75.0,False
1000053,1000168,north,north,False,False,75.0,False
1000054,1000106,north,north,False,False,75.0,False
1000055,1000216,south,south,False,False,75.0,False
1000055,1000234,south,south,False,False,75.0,False
1000056,1000112,north,north,False,False,75.0,False
1000056,1000135,north,north,False,False,75.0,False
1000058,1000059,north,north,False,False,75.0,False
1000058,1000074,north,north,False,False,75.0,False
1000061,1000153,north,north,False,False,75.0,False
1000061,1000270,north,north,False,False,75.0,False
1000062,1000063,north,north,False,False,75.0,False
1000062,1000258,north,north,False,False,75.0,False
1000062,1001003,north,north,False,False,75.0,False
1000062,1001327,north,north,False,False,75.0,False
1000063,1000158,north,north,False,False,75.0,False
1000064,1000086,north,north,False,False,75.0,False
1000064,1000110,north,north,False,False,75.0,False
1000064,1000170,north,north,False,False,75.0,False
1000064,1000260,north,north,False,False,75.0,False
1000064,1000265,north,north,False,False,75.0,False
1000065,1000157,north,north,False,False,75.0,False
1000065,1000269,north,north,False,False,75.0,False
1000066,1000189,north,north,False,False,75.0,False
1000066,1000199,north,north,False,False,75.0,False
1000067,1000081,north,north,False,False,75.0,False
1000067,1000109,north,north,False,False,75.0,False
1000068,1000245,north,north,False,False,75.0,False
1000069,1000184,south,north,True,True,75.0,True
1000069,1000209,south,south,False,False,75.0,False
1000071,1000145,north,north,False,False,75.0,False
1000071,1000174,north,north,False,False,75.0,False
1000072,1000174,north,north,False,False,75.0,False
1000072,1000175,north,north,False,False,75.0,False
1000073,1000121,south,south,False,False,75.0,False
1000073,1000132,south,south,False,False,75.0,False
1000074,1000115,north,north,False,False,75.0,False
1000075,1000231,north,north,False,False,75.0,False
1000075,1000254,north,south,True,True,75.0,True
1000075,1000266,north,north,False,False,75.0,False
1000077,1000129,north,north,False,False,75.0,False
1000077,1000152,north,north,False,False,75.0,False
1000077,1000252,north,north,False,False,75.0,False
1000077,1001260,north,north,False,False,75.0,False
1000078,1000091,north,north,False,False,75.0,False
1000078,1000129,north,north,False,False,75.0,False
1000079,1000095,north,north,False,False,75.0,False
1000080,1000129,north,north,False,False,75.0,False
1000080,1000138,north,north,False,False,75.0,False
1000080,1000235,north,north,False,False,75.0,False
1000081,1000147,north,north,False,False,75.0,False
1000081,1000261,north,north,False,False,75.0,False
1000082,1000230,north,north,False,False,75.0,False
1000082,1000257,north,north,False,False,75.0,False
1000082,1000263,north,north,False,False,75.0,False
1000083,1000108,north,north,False,False,75.0,False
1000083,1000142,north,north,False,False,75.0,False
1000083,1000201,north,north,False,False,75.0,False
1000084,1000177,north,north,False,False,75.0,False
1000084,1000260,north,north,False,False,75.0,False
1000085,1000154,north,north,False,False,75.0,False
1000085,1000190,north,north,False,False,75.0,False
1000086,1000110,north,north,False,False,75.0,False
1000086,1000212,north,north,False,False,75.0,False
1000087,1000098,north,north,False,False,75.0,False
1000088,1000097,north,north,False,False,75.0,False
1000088,1000204,north,north,False,False,75.0,False
1000089,1000235,north,north,False,False,75.0,False
1000089,1000252,north,north,False,False,75.0,False
1000092,1000162,north,north,False,False,75.0,False
1000092,1000178,north,north,False,False,75.0,False
1000093,1000119,north,north,False,False,75.0,False
1000093,1000173,north,north,False,False,75.0,False
1000093,1000179,north,north,False,False,75.0,False
1000093,1000248,north,north,False,False,75.0,False
1000093,1000266,north,north,False,False,75.0,False
1000094,1000125,north,south,True,True,75.0,True
1000094,1000240,north,north,False,False,75.0,False
1000094,1001254,north,north,False,False,75.0,False
1000096,1000188,north,north,False,False,75.0,False
1000096,1000240,north,north,False,False,75.0,False
1000099,1000157,north,north,False,False,75.0,False
1000099,1000178,north,north,False,False,75.0,False
1000100,1000224,north,north,False,False,75.0,False
1000100,1000271,north,north,False,False,75.0,False
1000101,1000124,north,north,False,False,75.0,False
1000101,1001146,north,north,False,False,75.0,False
1000102,1000161,north,north,False,False,75.0,False
1000102,1000164,north,north,False,False,75.0,False
1000102,1000264,north,north,False,False,75.0,False
1000103,1000104,north,north,False,False,75.0,False
1000103,1000105,north,north,False,False,75.0,False
1000103,1000118,north,south,True,False,75.0,False
1000104,1000105,north,north,False,False,75.0,False
1000104,1001147,north,north,False,False,75.0,False
1000105,1016430,north,north,False,False,75.0,False
1000107,1000237,north,north,False,False,75.0,False
1000108,1000129,north,north,False,False,75.0,False
1000108,1001043,north,north,False,False,75.0,False
1000108,1001048,north,north,False,False,75.0,False
1000110,1000167,north,north,False,False,75.0,False
1000111,1000120,north,north,False,False,75.0,False
1000111,1000246,north,north,False,False,75.0,False
1000112,1000200,north,north,False,False,75.0,False
1000112,1000235,north,north,False,False,75.0,False
1000113,1000167,north,north,False,False,75.0,False
1000113,1000203,north,north,False,False,75.0,False
1000115,1000243,north,north,False,False,75.0,False
1000116,1000117,south,north,True,False,75.0,False
1000116,1000118,south,south,False,False,75.0,False
1000117,1000171,north,north,False,False,75.0,False
1000119,1000130,north,north,False,False,75.0,False
1000120,1000197,north,north,False,False,75.0,False
1000121,1000172,south,south,False,False,75.0,False
1000121,1000254,south,south,False,False,75.0,False
1000121,1002196,south,south,False,False,75.0,False
1000122,1000186,north,north,False,False,75.0,False
1000122,1000271,north,north,False,False,75.0,False
1000123,1000239,north,north,False,False,75.0,False
1000124,1000213,north,north,False,False,75.0,False
1000125,1000192,south,north,True,False,75.0,False
1000126,1000263,north,north,False,False,75.0,False
1000126,1000270,north,north,False,False,75.0,False
1000127,1000141,north,north,False,False,75.0,False
1000127,1000186,north,north,False,False,75.0,False
1000128,1000185,north,north,False,False,75.0,False
1000128,1000257,north,north,False,False,75.0,False
1000129,1000200,north,north,False,False,75.0,False
1000130,1000212,north,north,False,False,75.0,False
1000131,1000134,north,north,False,False,75.0,False
1000131,1000259,north,north,False,False,75.0,False
1000132,1000254,south,south,False,False,75.0,False
1000133,1000144,north,north,False,False,75.0,False
1000133,1000187,north,north,False,False,75.0,False
1000134,1000278,north,north,False,False,75.0,False
1000135,1000179,north,north,False,False,75.0,False
1000135,1000235,north,north,False,False,75.0,False
1000136,1000137,north,north,False,False,75.0,False
1000136,1000226,north,north,False,False,75.0,False
1000137,1000207,north,north,False,False,75.0,False
1000137,1000250,north,north,False,False,75.0,False
1000138,1000149,north,north,False,False,75.0,False
1000138,1000226,north,north,False,False,75.0,False
1000138,1000268,north,north,False,False,75.0,False
1000138,1001023,north,north,False,False,75.0,False
1000139,1000156,south,south,False,False,75.0,False
1000139,1000215,south,south,False,False,75.0,False
1000141,1000253,north,north,False,False,75.0,False
1000142,1000241,north,north,False,False,75.0,False
1000146,1000220,north,north,False,False,75.0,False
1000146,1000226,north,north,False,False,75.0,False
1000148,1000238,north,north,False,False,75.0,False
1000149,1000169,north,north,False,False,75.0,False
1000151,1000216,south,south,False,False,75.0,False
1000153,1000257,north,north,False,False,75.0,False
1000155,1000229,south,south,False,False,75.0,False
1000156,1000229,south,south,False,False,75.0,False
