u,v,line_ids,modes,directions,route_names,distance_m
1000121,1002196,northern,tube,inbound;outbound,branch_10;branch_7,1825.4821747766043
1000122,1000186,bakerloo;lioness,overground;tube,inbound;outbound,branch_0;branch_1,1462.884799373103
1000122,1000271,bakerloo;lioness,overground;tube,inbound;outbound,branch_0;branch_1,1364.4532431032387
1000123,1000239,northern,tube,inbound;outbound,branch_17;branch_9,741.8990495729362
1000124,1000213,bakerloo;lioness,overground;tube,inbound;outbound,branch_0;branch_1,1413.2016092335373
1000125,1000192,district;mildmay,overground;tube,inbound;outbound,branch_0;branch_4;branch_5;branch_8,1914.5655742726472
1000126,1000263,jubilee,tube,inbound;outbound,branch_0;branch_1,915.0903680646767
1000126,1000270,jubilee,tube,inbound;outbound,branch_0;branch_1,1212.7251212748454
1000127,1000141,bakerloo,tube,inbound;outbound,branch_0;branch_1,816.9643244755011
1000127,1000186,bakerloo,tube,inbound;outbound,branch_0;branch_1,743.3455641876478
1000128,1000185,jubilee,tube,inbound;outbound,branch_0;branch_1,1152.970827357235
1000128,1000257,jubilee,tube,inbound;outbound,branch_0;branch_1,2414.0310670518556
1000129,1000200,piccadilly,tube,inbound;outbound,branch_0;branch_8,851.5064315766402
1000130,1000212,piccadilly,tube,inbound;outbound,branch_0;branch_8,1225.0118057463635
1000131,1000134,circle;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_2,682.6404153503553
1000131,1000259,circle;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_2,764.0417164084377
1000132,1000254,bakerloo,tube,inbound;outbound,branch_0;branch_1,527.7384052182971
1000133,1000144,central,tube,inbound;outbound,branch_13;branch_6,1157.9568849987409
1000133,1000187,central,tube,inbound;outbound,branch_13;branch_6,824.2011833766328
1000134,1000278,circle;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_2,627.1188237985723
1000135,1000179,piccadilly,tube,inbound;outbound,branch_0;branch_8,437.5877933883167
1000135,1000235,northern,tube,inbound;outbound,branch_12;branch_5,538.1594624192352
1000136,1000137,central,tube,inbound;outbound,branch_13;branch_6,1613.429901992812
1000136,1000226,central,tube,inbound;outbound,branch_13;branch_6,1647.6607630822714
1000137,1000207,central,tube,inbound;outbound,branch_11;branch_5,1677.609950855728
1000137,1000250,central,tube,inbound;outbound,branch_1;branch_12,1620.5672669012667
1000138,1000149,circle;hammersmith-city;metropolitan,tube,inbound;outbound,branch_0;branch_1;branch_14;branch_3,372.5144015618268
1000138,1000226,elizabeth,elizabeth-line,inbound;outbound,branch_16;branch_4,6150.907669232591
1000138,1000268,elizabeth,elizabeth-line,inbound;outbound,branch_2;branch_22,1631.862677490273
1000138,1001023,weaver,overground,inbound;outbound,branch_5;branch_7,1775.991452612516
1000139,1000156,windrush,overground,inbound;outbound,branch_5;branch_9,4732.200695648846
1000139,1000215,jubilee,tube,inbound;outbound,branch_0;branch_1,1199.5534738622682
1000141,1000253,bakerloo,tube,inbound;outbound,branch_0;branch_1,741.1054265533925
1000142,1000241,piccadilly,tube,inbound;outbound,branch_0;branch_8,2233.651948751286
1000146,1000220,district;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_12,971.4459536447991
1000146,1000226,central,tube,inbound;outbound,branch_13;branch_6,2802.3412855357674
1000148,1000238,circle;district,tube,inbound;outbound,branch_1;branch_12;branch_3,673.2018166195087
1000149,1000169,northern,tube,inbound;outbound,branch_13;branch_6,856.0786765042834
1000150,1000165,metropolitan,tube,inbound;outbound,branch_1;branch_13,2169.9643018472125
1000150,1000193,metropolitan,tube,inbound;outbound,branch_15;branch_4,3082.3808535613894
1000151,1000216,northern,tube,inbound;outbound,branch_11;branch_8,1476.2707344273556
1000153,1000257,jubilee,tube,inbound;outbound,branch_0;branch_1,2285.2135523499546
1000155,1000229,windrush,overground,inbound;outbound,branch_11;branch_2,2147.315589154423
1000156,1000229,windrush,overground,inbound;outbound,branch_10;branch_4,2069.852606984194
1000156,1001035,windrush,overground,inbound;outbound,branch_15;branch_6,1189.2191904176161
1000157,1000258,central,tube,inbound;outbound,branch_3;branch_7,1597.46464830195
1000158,1000176,piccadilly,tube,inbound;outbound,branch_1;branch_5,1113.4619795225462
1000159,1000208,piccadilly,tube,inbound;outbound,branch_2;branch_9,547.1607526139268
1000161,1000181,metropolitan,tube,inbound;outbound,branch_1;branch_13,1565.347926981216
1000162,1000214,central,tube,inbound;outbound,branch_4;branch_8,2311.1416023436777
1000163,1000213,bakerloo;lioness,overground;tube,inbound;outbound,branch_0;branch_1,905.7852175868202
1000163,1000256,bakerloo;lioness,overground;tube,inbound;outbound,branch_0;branch_1,1248.4136511943507
1000164,1000183,metropolitan,tube,inbound;outbound,branch_0;branch_11,1755.4495490867378
1000165,1000166,metropolitan,tube,inbound;outbound,branch_1;branch_13,1530.2738684196088
1000166,1000181,metropolitan,tube,inbound;outbound,branch_1;branch_13,2154.760983800344
